Marca temporal,¿Cuál es su rendimiento académico?,¿Cómo calificaría su atención en clase?,"Si usted tiene rabia con amigo/amiga suyo, ¿qué es lo más probable que haga?",¿Se ha sentido deprimido?,¿Se ha sentido ansioso?,¿Siente que tiene dificultad para prestar atención en clase?
28/08/2020 17:48:38,4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Normal.,Normal.
28/08/2020 17:50:15,3.5,3,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Mucho.
28/08/2020 17:56:10,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Muy poco.
28/08/2020 17:56:16,4.8,5,Pido consejo a alguien cercano sobre cómo solucionarlo.,Muy poco.,Muy poco.,Muy poco.
28/08/2020 17:56:29,3,3,Pido consejo a alguien cercano sobre cómo solucionarlo.,Mucho.,Muy poco.,Mucho.
28/08/2020 17:57:26,4.76,3,No decirle a nadie.,Muy poco.,Muy poco.,Normal.
28/08/2020 17:58:24,4.7,3,Pido consejo a alguien cercano sobre cómo solucionarlo.,Mucho.,Mucho.,Normal.
28/08/2020 18:00:01,4.4,4,No decirle a nadie.,Mucho.,Normal.,Muy poco.
28/08/2020 18:00:03,4,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Mucho.,Muy poco.
28/08/2020 18:00:13,3,2,No decirle a nadie.,Mucho.,Muy poco.,Normal.
28/08/2020 18:00:43,3.8,3,Pido consejo a alguien cercano sobre cómo solucionarlo.,Mucho.,Mucho.,Normal.
28/08/2020 18:01:08,4.3,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Normal.,Normal.
28/08/2020 18:02:55,4.1,3,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Normal.,Mucho.
28/08/2020 18:03:02,0,3,No decirle a nadie.,Muy poco.,Normal.,Normal.
28/08/2020 18:04:51,4.3,5,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Muy poco.,Muy poco.
28/08/2020 18:05:39,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Normal.
28/08/2020 18:05:43,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Normal.
28/08/2020 18:07:33,3.5,3,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Normal.,Mucho.
28/08/2020 18:08:23,4,3,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Mucho.
28/08/2020 18:08:52,3,2,No decirle a nadie.,Mucho.,Mucho.,Mucho.
28/08/2020 18:12:26,4,4,No decirle a nadie.,Normal.,Normal.,Normal.
28/08/2020 18:12:31,4,3,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Mucho.,Normal.
28/08/2020 18:14:36,4.5,3,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Mucho.
28/08/2020 18:25:14,3,3,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Mucho.,Mucho.
28/08/2020 18:25:33,3.6,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Mucho.,Mucho.,Mucho.
28/08/2020 18:37:20,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Normal.
28/08/2020 18:56:48,3.8,5,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Mucho.,Muy poco.
28/08/2020 19:11:14,4.3,1,No decirle a nadie.,Muy poco.,Normal.,Mucho.
28/08/2020 19:44:17,4.0,4,No decirle a nadie.,Muy poco.,Normal.,Normal.
28/08/2020 19:51:42,3.8,3,No decirle a nadie.,Mucho.,Mucho.,Normal.
28/08/2020 20:03:33,3,3,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Mucho.,Normal.,Mucho.
28/08/2020 20:20:47,3.7,3,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Mucho.
28/08/2020 20:21:42,3.3,2,No decirle a nadie.,Mucho.,Mucho.,Mucho.
28/08/2020 21:16:24,4.3,3,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Mucho.
28/08/2020 22:05:09,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Muy poco.
28/08/2020 22:11:48,4.1,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Muy poco.,Normal.,Muy poco.
28/08/2020 22:16:07,4.0,5,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Mucho.,Mucho.,Muy poco.
28/08/2020 22:31:32,3.3,2,No decirle a nadie.,Mucho.,Mucho.,Mucho.
28/08/2020 23:53:53,5,5,Pido consejo a alguien cercano sobre cómo solucionarlo.,Muy poco.,Muy poco.,Muy poco.
29/08/2020 10:27:55,3.7,3,No decirle a nadie.,Mucho.,Normal.,Mucho.
29/08/2020 11:05:18,3,3,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Mucho.,Mucho.
29/08/2020 11:08:47,4.3,1,No decirle a nadie.,Muy poco.,Normal.,Mucho.
29/08/2020 13:18:29,3.4,2,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Normal.,Mucho.
29/08/2020 14:51:56,4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Normal.,Normal.
29/08/2020 14:58:09,4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Muy poco.,Normal.,Muy poco.
29/08/2020 18:24:28,4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Mucho.,Mucho.,Mucho.
30/08/2020 10:06:18,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Muy poco.,Normal.
31/08/2020 17:01:57,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Normal.,Normal.
1/09/2020 7:06:24,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Normal.
1/09/2020 14:16:03,4.5,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Muy poco.
1/09/2020 14:17:11,4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Mucho.,Mucho.
1/09/2020 14:19:41,4.6,3,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Normal.
1/09/2020 14:24:19,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Normal.
1/09/2020 14:28:30,4.5,5,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Normal.
1/09/2020 14:31:16,4,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Normal.,Normal.
1/09/2020 14:36:27,4,4,No decirle a nadie.,Normal.,Normal.,Normal.
1/09/2020 14:37:23,4,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Normal.,Normal.
1/09/2020 14:40:24,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Mucho.
1/09/2020 14:41:01,3.5,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Muy poco.,Muy poco.
1/09/2020 14:44:29,4,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Mucho.,Mucho.,Normal.
1/09/2020 14:45:34,5,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Muy poco.
1/09/2020 14:46:45,5,5,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Muy poco.
1/09/2020 14:47:06,4,2,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Mucho.
1/09/2020 14:48:44,3,3,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Muy poco.
1/09/2020 14:57:43,5,3,No decirle a nadie.,Normal.,Normal.,Normal.
1/09/2020 15:06:21,4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Mucho.,Mucho.,Muy poco.
1/09/2020 15:06:27,4,5,No decirle a nadie.,Mucho.,Mucho.,Muy poco.
1/09/2020 15:07:26,3.8,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Muy poco.,Normal.,Muy poco.
1/09/2020 15:08:34,4,5,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Normal.,Normal.
1/09/2020 15:13:16,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Normal.
1/09/2020 15:14:15,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Normal.
1/09/2020 15:19:00,4,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Mucho.,Normal.
1/09/2020 15:26:01,4.4,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Normal.,Normal.
1/09/2020 15:32:23,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Muy poco.
1/09/2020 15:33:57,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Muy poco.,Muy poco.
1/09/2020 15:34:18,4,4,No decirle a nadie.,Mucho.,Mucho.,Normal.
1/09/2020 15:35:08,4,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Muy poco.,Muy poco.,Muy poco.
1/09/2020 15:35:48,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Normal.
1/09/2020 15:36:11,3,2,No decirle a nadie.,Mucho.,Mucho.,Mucho.
1/09/2020 15:36:12,3,3,No decirle a nadie.,Muy poco.,Muy poco.,Normal.
1/09/2020 15:37:38,4,3,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Mucho.
1/09/2020 15:37:39,3,3,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Mucho.,Normal.
1/09/2020 15:38:00,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Muy poco.
1/09/2020 15:38:01,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Muy poco.,Muy poco.
1/09/2020 15:38:20,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Mucho.
1/09/2020 15:40:13,4.5,4,Pido consejo a alguien cercano sobre cómo solucionarlo.,Normal.,Normal.,Muy poco.
1/09/2020 15:40:14,2,1,Hablo lo que siento con la persona que tengo rabia.,Normal.,Muy poco.,Mucho.
1/09/2020 15:44:12,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Muy poco.
1/09/2020 15:46:42,5,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Muy poco.,Muy poco.
1/09/2020 15:47:14,4,5,Hablo lo que siento con la persona que tengo rabia.,Normal.,Muy poco.,Muy poco.
1/09/2020 15:56:44,4.6,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Muy poco.,Normal.
1/09/2020 15:58:04,4,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Normal.,Muy poco.
1/09/2020 16:08:23,4,3,No decirle a nadie.,Mucho.,Mucho.,Mucho.
1/09/2020 16:10:32,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Normal.
1/09/2020 16:10:39,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Normal.
1/09/2020 16:14:56,3,4,No decirle a nadie.,Muy poco.,Muy poco.,Muy poco.
1/09/2020 16:17:39,3,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Muy poco.
1/09/2020 16:18:21,4,5,Pido consejo a alguien cercano sobre cómo solucionarlo.,Muy poco.,Muy poco.,Muy poco.
1/09/2020 16:19:55,4,4,No decirle a nadie.,Mucho.,Normal.,Normal.
1/09/2020 16:21:13,4.5,4,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Normal.,Muy poco.
1/09/2020 16:32:50,3,4,Hablo lo que siento con la persona que tengo rabia.,Muy poco.,Mucho.,Normal.
1/09/2020 16:36:25,4.5,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Mucho.,Muy poco.
1/09/2020 16:37:57,4,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Muy poco.
1/09/2020 16:45:57,2,3,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Mucho.,Mucho.
1/09/2020 17:16:23,4,3,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Mucho.,Normal.
1/09/2020 17:18:31,3,3,No decirle a nadie.,Mucho.,Mucho.,Mucho.
1/09/2020 17:46:34,3,4,Hablo lo que siento con la persona que tengo rabia.,Normal.,Normal.,Normal.
1/09/2020 18:26:05,4,3,"Me desahogo con otros, sin decirle a la persona con la que siento rabia.",Normal.,Mucho.,Normal.
1/09/2020 18:38:34,4,4,Hablo lo que siento con la persona que tengo rabia.,Mucho.,Mucho.,Muy poco.
